"# This file contains the energy consumption and yields of your device ""aroTHERM plus"" with serial 21222500100211330001005519N3 exported at 2024-07-13 19:55:28.",,,,,,,,,
# All values are given in Watt hours (Wh),,,,,,,,,
DateTime,,EarnedEnvironmentEnergy:Heating,EarnedEnvironmentEnergy:DomesticHotWater,ConsumedElectricalEnergy:Heating,ConsumedElectricalEnergy:DomesticHotWater,HeatGenerated:Heating,HeatGenerated:DomesticHotWater,COP,COP (sanitised)
2024-01-25 00:00:00,2024-01-25,10611.9,6000,3000,2000,13611.9,8000,4.32238,4.32238
2024-01-26 00:00:00,2024-01-26,20387.9,8000,7000,5000,27387.9,13000,3.365658333,3.365658333
2024-01-27 00:00:00,2024-01-27,24612.1,5387.9,9000,3388.1,33612.1,8776,3.421678869,3.421678869
2024-01-28 00:00:00,2024-01-28,17000,10612.1,5388.1,4611.9,22388.1,15224,3.76121,3.76121
2024-01-29 00:00:00,2024-01-29,9387.8,8000,3611.9,3000,12999.7,11000,3.62977359,3.62977359
2024-01-30 00:00:00,2024-01-30,20000.2,8000,6388.1,5000,26388.2,13000,3.458715677,3.458715677
2024-01-31 00:00:00,2024-01-31,20000.1,8000,7611.9,4000,27612.1,12000,3.411336646,3.411336646
2024-02-01 00:00:00,2024-02-01,21999.9,7000,7388.1,4000,29387.9,11000,3.546500294,3.546500294
2024-02-02 00:00:00,2024-02-02,12999.9,9000,4611.9,4000,17611.9,13000,3.554604675,3.554604675
2024-02-03 00:00:00,2024-02-03,10000,10000,4000,4000,14000,14000,3.5,3.5
2024-02-04 00:00:00,2024-02-04,15000.1,7000,5000,4000,20000.1,11000,3.444455556,3.444455556
2024-02-05 00:00:00,2024-02-05,16000.1,6000,6000,3000,22000.1,9000,3.444455556,3.444455556
2024-02-06 00:00:00,2024-02-06,14611.9,7000,5000,4000,19611.9,11000,3.401322222,3.401322222
2024-02-07 00:00:00,2024-02-07,24387.9,6000,8387.9,3000,32775.9,9000,3.668446333,3.668446333
2024-02-08 00:00:00,2024-02-08,18531.8,8000,6531.8,4000,25063.5,12000,3.519198997,3.519198997
2024-02-09 00:00:00,2024-02-09,11080.3,6879.2,4080.3,3879.4,15160.6,10758.6,3.25630363,3.25630363
2024-02-10 00:00:00,2024-02-10,18000,9120.8,6000,4120.6,24000,13241.4,3.679762069,3.679762069
2024-02-11 00:00:00,2024-02-11,21879.4,10758.9,7000,5879.4,28879.4,16638.3,3.534147553,3.534147553
2024-02-12 00:00:00,2024-02-12,22999.8,7241.1,8000,4120.6,30999.8,11361.7,3.495000248,3.495000248
2024-02-13 00:00:00,2024-02-13,15120.8,9000,5879.4,4000,21000.2,13000,3.441524789,3.441524789
2024-02-14 00:00:00,2024-02-14,7879.4,8000,2120.6,3000,10000,11000,4.101081904,4.101081904
2024-02-15 00:00:00,2024-02-15,3120.6,9000,2000,4000,5120.6,13000,3.0201,3.0201
2024-02-16 00:00:00,2024-02-16,11000,8000,3000,4000,14000,12000,3.714285714,3.714285714
2024-02-17 00:00:00,2024-02-17,7000,10000,2879.4,4000,9879.4,14000,3.471145739,3.471145739
2024-02-18 00:00:00,2024-02-18,11879.2,7000,3120.6,4000,14999.8,11000,3.651349605,3.651349605
2024-02-19 00:00:00,2024-02-19,12000.2,7000,4000,3000,16000.2,10000,3.714314286,3.714314286
2024-02-20 00:00:00,2024-02-20,14999.8,8000,5879.4,4000,20879.2,12000,3.32805636,3.32805636
2024-02-21 00:00:00,2024-02-21,13000,7000,4120.6,4000,17120.6,11000,3.462872202,3.462872202
2024-02-22 00:00:00,2024-02-22,21000.2,8000,7000,4000,28000.2,12000,3.636381818,3.636381818
2024-02-23 00:00:00,2024-02-23,28878.9,7000,10000,5000,38878.9,12000,3.391926667,3.391926667
2024-02-24 00:00:00,2024-02-24,28121.1,6638.2,11879.4,4879.4,40000.5,11517.7,3.074098384,3.074098384
2024-02-25 00:00:00,2024-02-25,27000,7361.8,10000,4120.6,37000,11482.3,3.433444754,3.433444754
2024-02-26 00:00:00,2024-02-26,28879.4,6000,10000,4000,38879.4,10000,3.491385714,3.491385714
2024-02-27 00:00:00,2024-02-27,27120.6,9000,10120.6,4000,37241.1,13000,3.558000368,3.558000368
2024-02-28 00:00:00,2024-02-28,16118.6,8000,6000,4000,22118.6,12000,3.41186,3.41186
2024-02-29 00:00:00,2024-02-29,19000,7000,6998.3,4000,25998.3,11000,3.364001709,3.364001709
2024-03-01 00:00:00,2024-03-01,24000,10000,8001.7,6000,32001.7,16000,3.428276566,3.428276566
2024-03-02 00:00:00,2024-03-02,26998.1,10000,9998.3,5000,36996.4,15000,3.466819573,3.466819573
2024-03-03 00:00:00,2024-03-03,27001.9,8000,11001.7,5000,38003.6,13000,3.18738634,3.18738634
2024-03-04 00:00:00,2024-03-04,24998.1,8000,9000,4000,33998.1,12000,3.538315385,3.538315385
2024-03-05 00:00:00,2024-03-05,22001.9,7000,8000,5000,30001.9,12000,3.230915385,3.230915385
2024-03-06 00:00:00,2024-03-06,18000,7000,6998.3,4000,24998.3,11000,3.273078567,3.273078567
2024-03-07 00:00:00,2024-03-07,20997.5,10000,6999.7,4000,27997.2,14000,3.818031401,3.818031401
2024-03-08 00:00:00,2024-03-08,21857.2,8000,7001.7,5000,28858.9,13000,3.487747569,3.487747569
2024-03-09 00:00:00,2024-03-09,20000,8000,7000,4000,27000,12000,3.545454545,3.545454545
2024-03-10 00:00:00,2024-03-10,12999.8,9000,5000,5000,17999.8,14000,3.19998,3.19998
